sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
62395,1866670,2,2,0,23.24,,
62396,1866155,10,10,0,114.40,,
62398,410190-1,17,9,8,190.82,,
62400,410200-1,15,10,5,234.18,,
62405,410150-1,3,0,3,105.32,,
62406,410170-1,0,0,0,175.53,,
62425,740155-1,2,2,0,45.45,,
62429,750013-1,1,1,0,1572.40,,1799.99
62442,600050-1,18,0,18,97.40,,149.99
62460,010-12445-33,1,1,0,22.49,,
62463,010-11976-00,0,0,0,3.49,,
62470,SET0015,0,0,0,274.50,,
62479,SCM-10-BB-20,4,2,2,378.96,,539.00
62481,SCM-10-GW-20,0,0,0,378.96,,539.00
62486,SCM-10-AG-20,0,0,0,378.96,,539.00
62491,SCM-10-UB-20,0,0,0,378.96,,539.00
62493,SCM-10-CR-20,0,0,0,378.96,,539.00
62494,SCM-6-BB-20,1,0,1,282.50,,399.00
62495,SCM-6-GW-20,1,1,0,253.93,,399.00
62501,SCM-6-AG-20,1,0,1,253.93,,399.00
62503,SCM-6-UB-20,0,0,0,282.50,,399.00
62506,SCM-6-CR-20,0,0,0,282.50,,399.00
62513,SCM-4-BB-20,0,0,0,201.25,,299.00
62514,SCM-4-GW-20,0,0,0,201.25,,299.00
62517,SCM-4-AG-20,1,0,1,180.90,,299.00
62522,SCM-4-UB-20,0,0,0,201.25,,299.00
62527,SCM-4-CR-20,0,0,0,201.25,,299.00
62538,SCM-AL-LED-16,1,1,0,119.99,,169.00
62539,SCM-AL-LED-8,4,2,2,83.00,,112.00
62540,SCM-CL-BB-4PACK,2,0,2,88.84,,129.95
62541,SCM-CL-GW-4PACK,0,0,0,88.84,,129.95
62542,SCM-CL-CR-4PACK,0,0,0,88.84,,129.95
62543,SCM-CL-RGB-4PACK,2,0,2,106.62,,149.95
62544,SCM-CL-BB-SS-4PACK,0,0,0,97.65,,139.95
62545,SCM-CL-GW-SS-4PACK,0,0,0,97.65,,139.95
62546,SCM-CL-CR-SS-4PACK,0,0,0,97.65,,139.95
62547,SCM-CL-RGB-SS-4PACK,0,0,0,110.44,,159.95
62550,SCM-PD,0,0,0,178.04,,269.00
62552,SCM-PD-PLUS,0,0,0,299.97,,419.00
62554,SCM-TT-10,0,0,0,120.99,,169.00
62555,SCM-TT-6,0,0,0,120.99,,169.00
62556,SCM-TT-4,0,0,0,120.99,,169.00
62559,131710,9,3,6,38.10,,
62560,131725,0,0,0,93.98,,
62561,131750,0,0,0,174.96,,
62562,131799,0,0,0,344.73,,
62563,RL-513,1,1,0,16.29,,
62564,131525,10,7,3,127.35,,
62567,131302,10,7,3,29.55,,
62568,131325,9,3,6,186.20,,
62569,131370,0,0,0,521.32,,
62570,131130,3,0,3,317.84,,
62571,131150,0,0,0,574.85,,
62572,130902,5,2,3,72.32,,
62573,130905,5,4,1,103.63,,
62574,130910,5,4,1,203.06,,
62575,130705,6,2,4,201.22,,
62576,130710,6,4,2,394.30,,
62577,133710,7,3,4,75.28,,
62578,133725,0,0,0,170.35,,
62579,133510,4,2,2,78.40,,
62580,133525,4,2,2,192.57,,
62581,133590,0,0,0,637.95,,
62583,133310,6,3,3,107.15,,
62584,133325,4,2,2,259.55,,
62585,151025,0,0,0,104.87,,
62586,151050,0,0,0,202.06,,
62587,151725,2,1,1,249.55,,
62588,151550,7,0,7,246.76,,
62589,151560,0,0,0,475.22,,
62591,199300,6,2,4,1.70,,
62592,199301,0,0,0,3.60,,
62593,199302,0,0,0,30.55,,
62594,199303,0,0,0,1.97,,
62595,199304,0,0,0,4.69,,
62596,199305,0,0,0,42.72,,
62597,199306,0,0,0,2.36,,
62598,199307,0,0,0,5.85,,
62599,199308,0,0,0,48.69,,
62600,199309,0,0,0,1.70,,
62601,199310,0,0,0,3.60,,
62602,199311,0,0,0,32.63,,
62603,199312,0,0,0,1.97,,
62604,199313,0,0,0,4.69,,
62607,199315,0,0,0,2.36,,
62608,199316,0,0,0,5.85,,
62610,199318,0,0,0,4.05,,
62611,199319,0,0,0,18.15,,
62613,199321,0,0,0,19.39,,
62614,199322,0,0,0,3.60,,
62616,220011,5,0,5,24.95,,
62617,309000,9,7,2,68.19,,
62618,309001,2,2,0,62.52,,
62619,309101,9,2,7,62.52,,
62620,309201,2,0,2,80.67,,
62621,703023,5,4,1,28.14,,
62622,703075,2,0,2,22.06,,
62623,6396-AIS-R,3,1,2,349.25,,
62624,NPT2000,0,0,0,290.90,,
62644,G10307,21,12,9,10.85,,
